Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Annual
2008 62 56 52 84 83 96 91 85 89 73 68 58 96
2009 42 51 67 90 88 86 85 91 80 74 68 63 91
2010 56 43 70 87 94 87 96 92 93 74 63 60 96
2011 50 60 62 84 89 93 99 89 83 83 69 57 99
2012 51 59 81 91 91 94 98 92 86 74 67 56 98
2013 56 48 56 74 92 92 96 88 93 78 70 54 96
2014 56 51 53 79 87 90 91 86 89 79 70 58 91
2015 45 34 49 77 89 89 95 92 94 75 73 72 95
2016 55 62 81 78 93 91 94 93 89 84 64 50 94
2017 54 74 66 87 94 95 88 89 91 80 68 53 95
2018 63 73 56 70 90 97 97 96 94 83 64 62 97
2019 53 57 72 77 86 91 95 88 87 78 70 52 95
2020 67 62 75 67 90 95 94 87 81 76 72 63 95
2021 40 45 75 74 87 92 87 89 81 77 M M 92
